instance,n,num_variables,seed,penalty_factor,penalty,path_upper_bound_kms,provably_sufficient,feasibility_rate,best_raw_dv_kms,best_repaired_dv_kms,mean_feasible_dv_kms,reference_dv_kms,gap_pct,reason
n8_td30d,8,64,5,2.0,2.344075142798451,1.1720375713992255,True,1.0,1.1764619824559344,1.1764619824559344,2.8319461407232867,1.1123581267408957,5.7628792539015175,
n8_td30d,8,64,5,4.0,4.688150285596902,1.1720375713992255,True,1.0,1.1123581267408957,1.1123581267408957,3.1068414339088837,1.1123581267408957,0.0,
n8_td30d,8,64,5,8.0,9.376300571193804,1.1720375713992255,True,1.0,1.7393163497522304,1.7393163497522304,3.356109747997946,1.1123581267408957,56.362983102237315,
n10_td30d,10,100,1,0.5,0.7582600519844528,1.5165201039689056,False,0.896,1.5165201039689056,1.5165201039689056,2.4796337374330384,1.5165201039689056,0.0,
n10_td30d,10,100,1,1.0,1.5165201039689056,1.5165201039689056,False,1.0,1.7760438549002184,1.7760438549002184,3.4820932969053735,1.5165201039689056,17.113109826378807,
n10_td30d,10,100,1,1.05,1.592346109167351,1.5165201039689056,True,1.0,1.5165201039689056,1.5165201039689056,3.6210216776410307,1.5165201039689056,0.0,
n10_td30d,10,100,1,1.1,1.6681721143657964,1.5165201039689056,True,1.0,1.7494909794098294,1.7494909794098294,3.6706924512743258,1.5165201039689056,15.36220158448362,
n10_td30d,10,100,1,1.5,2.2747801559533585,1.5165201039689056,True,1.0,1.7308139225714927,1.7308139225714927,4.2303216929244645,1.5165201039689056,14.130628274676729,
n10_td30d,10,100,1,2.0,3.033040207937811,1.5165201039689056,True,1.0,1.5683711839257946,1.5683711839257946,4.578030686462748,1.5165201039689056,3.4190829268394665,
n10_td30d,10,100,1,4.0,6.066080415875622,1.5165201039689056,True,1.0,2.509478321324515,2.509478321324515,5.240708269780469,1.5165201039689056,65.47609983915973,
n10_td30d,10,100,1,8.0,12.132160831751245,1.5165201039689056,True,1.0,2.620753511231564,2.620753511231564,5.6466947580017415,1.5165201039689056,72.8136346081238,
n10_td30d,10,100,2,0.5,0.7582600519844528,1.5165201039689056,False,0.892,1.5165201039689056,1.5165201039689056,2.5084456726321256,1.5165201039689056,0.0,
n10_td30d,10,100,2,1.0,1.5165201039689056,1.5165201039689056,False,1.0,1.5165201039689056,1.5165201039689056,3.5138781962532013,1.5165201039689056,0.0,
